time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.234097,9.40690575e+02,3.67037172e-04,1.82231305e-04,4.87927655e+06
0.235191,9.33008366e+02,3.74334032e-04,1.85908475e-04,4.80794605e+06
0.236285,9.25346305e+02,3.82062776e-04,1.89565975e-04,4.50147907e+06
0.237379,9.17710154e+02,3.88933077e-04,1.93204058e-04,3.55928797e+06
0.238473,9.10106077e+02,3.96110104e-04,1.96831488e-04,3.08402652e+06
0.239566,9.02539932e+02,4.03619863e-04,2.00444286e-04,2.98204690e+06
0.240660,8.95017670e+02,4.10504364e-04,2.04044019e-04,2.88805272e+06
0.241754,8.87545544e+02,4.17405900e-04,2.07638259e-04,3.03392332e+06
0.242848,8.80129656e+02,4.24631836e-04,2.11225852e-04,3.33185578e+06
0.243942,8.72775994e+02,4.32206420e-04,2.14807757e-04,2.93264118e+06
0.245036,8.65490623e+02,4.39346218e-04,2.18385658e-04,3.15953163e+06
0.246130,8.58279695e+02,4.45783756e-04,2.21964696e-04,3.37099892e+06
0.247224,8.51149284e+02,4.53440873e-04,2.25546976e-04,3.41490159e+06
0.248318,8.44105292e+02,4.61220465e-04,2.29133062e-04,4.83807442e+06
0.249412,8.37153261e+02,4.69201803e-04,2.32716539e-04,4.91606747e+06
0.250506,8.30298774e+02,4.76407377e-04,2.36302004e-04,5.62239176e+06
0.251599,8.23547634e+02,4.84081286e-04,2.39898016e-04,5.74266950e+06
0.252693,8.16905497e+02,4.91221752e-04,2.43502269e-04,5.96641604e+06
0.253787,8.10377857e+02,4.99963113e-04,2.47117481e-04,7.47644273e+06
0.254881,8.03969458e+02,5.06988005e-04,2.50722818e-04,6.81139777e+06
0.255975,7.97685911e+02,5.13341438e-04,2.54348321e-04,6.79435717e+06
0.257069,7.91532820e+02,5.20279659e-04,2.57994084e-04,5.59853196e+06
0.258163,7.85515487e+02,5.27879325e-04,2.61659158e-04,7.22601447e+06
0.259257,7.79638555e+02,5.35581747e-04,2.65326148e-04,7.40530055e+06
0.260351,7.73906441e+02,5.43906443e-04,2.68997247e-04,8.74206231e+06
0.261445,7.68323246e+02,5.51518877e-04,2.72662023e-04,8.36397594e+06
0.262539,7.62893105e+02,5.58776508e-04,2.76324109e-04,1.00742203e+07
0.263632,7.57619501e+02,5.68975253e-04,2.79970370e-04,1.19927889e+07
0.264726,7.52505384e+02,5.74625145e-04,2.83578661e-04,1.12721370e+07
0.265820,7.47554506e+02,5.83186376e-04,2.87183202e-04,1.36855372e+07
0.266914,7.42769493e+02,5.90350606e-04,2.90740099e-04,1.12484530e+07
0.268008,7.38153253e+02,5.98032913e-04,2.94267603e-04,1.27496657e+07
0.269102,7.33708080e+02,6.05610177e-04,2.97738658e-04,1.41708888e+07
0.270196,7.29435821e+02,6.12916834e-04,3.01142934e-04,1.50900501e+07
0.271290,7.25337829e+02,6.21525933e-04,3.04464389e-04,1.60877489e+07
0.272384,7.21415056e+02,6.28721052e-04,3.07685651e-04,1.69122803e+07
0.273478,7.17668399e+02,6.35142482e-04,3.10802015e-04,1.87943630e+07
0.274572,7.14098301e+02,6.42951155e-04,3.13798456e-04,1.89360881e+07
0.275666,7.10704880e+02,6.46763788e-04,3.16653693e-04,1.68968892e+07
0.276759,7.07488835e+02,6.52130142e-04,3.19396928e-04,1.91641624e+07
0.277853,7.04449534e+02,6.59802675e-04,3.21972088e-04,2.03430654e+07
0.278947,7.01585544e+02,6.66320863e-04,3.24350852e-04,1.94711040e+07
0.280041,6.98895897e+02,6.66966441e-04,3.26537599e-04,1.93546320e+07
0.281135,6.96379781e+02,6.72168753e-04,3.28548522e-04,1.97765877e+07
0.282229,6.94035182e+02,6.77644576e-04,3.30335448e-04,2.15772883e+07
0.283323,6.91859325e+02,6.82351226e-04,3.31860222e-04,2.14464206e+07
0.284417,6.89849369e+02,6.85847275e-04,3.33123717e-04,2.08981168e+07
0.285511,6.88002560e+02,6.87620717e-04,3.34123345e-04,2.23824730e+07
0.286605,6.86315641e+02,6.88886638e-04,3.34834545e-04,2.09970617e+07
0.287699,6.84785343e+02,6.89768561e-04,3.35267263e-04,1.98519727e+07
0.288792,6.83408671e+02,6.87340112e-04,3.35425230e-04,1.80194170e+07
0.289886,6.82182513e+02,6.86376617e-04,3.35305062e-04,1.84934559e+07
