seed,geometry,sigma_theta_deg,T_FP,v_FP,radial_closure_rate_FP,T_soft,v_at_soft,T_sustain,sustained,max_dist_after_FP,min_dist_after_FP,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,are_fallback_count,controller_mean_step_ms
0,alongtrack,0.1,17570.0,7.275023309036943e-05,3.9191454881234776e-05,17570.0,7.275023309036943e-05,17570.0,True,0.09961573322504555,1.9874374012502083e-06,0,1.0,0.02950558445560227,1.2499126625189572e-05,1.6724896788161807e-07,28.919674437430082,86.16405800033385,9.690708102787042,91.4029664955425,2.0240436174718204e-06,1.7044873273727607e-09,0.017084542583788102,4.180972678308423e-06,2.0226221104766164,7.082595910986424,0,3.799545550515325
0,alongtrack,0.008,17580.0,7.346103100559061e-05,3.995543571620464e-05,17580.0,7.346103100559061e-05,17580.0,True,0.09982504325195801,1.9799319549670795e-06,0,1.0,0.029596210454802367,1.2566531945330078e-05,1.6616344171074676e-07,5.8812316664868,53.81232711574728,2.693319099173981,54.199717741857775,1.6128084922076528e-07,1.3554502075928644e-10,0.006478979791738164,7.186074090768394e-07,2.0226192087884196,6.463659022512512,0,3.781238512357579
1,alongtrack,0.008,17590.0,7.338826589110172e-05,4.038386596955844e-05,17590.0,7.338826589110172e-05,17590.0,True,0.09972347993088951,1.984315111887449e-06,0,1.0,0.029622538842228496,1.2406574854000997e-05,1.6455026530644703e-07,8.668263519926068,34.29771254870006,3.0869244898910435,35.51057562657113,8.876369595583971e-08,1.34315907876977e-10,0.0008226644241673412,-1.7450331507165655e-06,2.0133105067156647,8.644527182162205,0,3.7444158094737867
1,alongtrack,0.1,17630.0,7.174868460715182e-05,4.179118465621666e-05,17630.0,7.174868460715182e-05,17630.0,True,0.09964775522429575,2.0378227127875175e-06,0,1.0,0.02953154640154671,1.2451508391759883e-05,1.6426736129405208e-07,39.827951665780866,74.9603336755372,12.11503481727084,85.74433758134317,9.250601265387802e-07,1.4198707679607244e-09,-0.002227849794126363,8.074094721987078e-07,2.013391120645954,8.007977898061746,0,3.728542851591021
2,alongtrack,0.008,17570.0,7.335295024246306e-05,3.859576371685568e-05,17570.0,7.335295024246306e-05,17570.0,True,0.09963492718330207,2.0002708840870034e-06,0,1.0,0.029586325312223802,1.2246143689569718e-05,1.6307436959148124e-07,9.163021544717061,81.38200716828163,4.235584672831593,82.00568414499033,4.211701221565553e-08,5.129586068212707e-11,-0.008882339383853327,-2.868969102940357e-06,2.0191623513499497,6.3495985285779195,0,3.7227433628144433
1,alongtrack,0.001,17580.0,7.332279088694745e-05,3.961329035803903e-05,17580.0,7.332279088694745e-05,17580.0,True,0.0996378878520318,1.9917356717949784e-06,0,1.0,0.029573463138162673,1.2349136098868024e-05,1.6446040614750268e-07,1.9053119901544433,33.454258922613946,1.071362612400306,33.52559427792996,1.114323209505384e-08,1.6922908468383687e-11,0.0005629133504291037,-8.805795251164309e-07,2.013364067854398,8.643304872438497,0,3.8017015499632176
2,alongtrack,0.001,17560.0,7.335834048956639e-05,3.813220984992818e-05,17560.0,7.335834048956639e-05,17560.0,True,0.09985650695004553,2.0074803071105993e-06,0,1.0,0.029545469930162962,1.2428574330309257e-05,1.637233245891068e-07,3.322599247753706,76.80139072499355,2.3807656147521388,76.91008599635477,3.942419856128268e-09,5.006618538070087e-12,-0.00724172367746957,-1.4418494868572954e-06,2.0192953371969384,6.384094426714311,0,3.743719657381469
2,alongtrack,0.1,17540.0,7.47744770171407e-05,3.797198690626352e-05,17540.0,7.47744770171407e-05,17540.0,True,0.09997214746002014,1.943428260195153e-06,0,1.0,0.029800500014158106,1.216114888063849e-05,1.631406120260732e-07,38.326291895340574,103.7040887011178,11.004279522940926,111.10597117884876,5.448927009660019e-07,6.433069227484677e-10,-0.010178402959973394,-5.052331966421922e-06,2.0192251530619725,6.297059687193919,0,3.823805725677518
3,alongtrack,0.001,17580.0,7.324590897093286e-05,3.9057874680273186e-05,17580.0,7.324590897093286e-05,17580.0,True,0.09964019931459822,2.005405527308087e-06,0,1.0,0.02958869335222558,1.234115702439873e-05,1.6304368983371105e-07,5.308415840545115,98.56513073876332,3.571602867020373,98.77257019702058,3.537247656495544e-08,4.2380099422706314e-11,-0.010352922926009523,-4.175582188696978e-06,2.0108997572742457,6.68883035368696,0,3.804863548752817
3,alongtrack,0.1,17540.0,7.309810563091245e-05,3.5486499171789006e-05,17540.0,7.309810563091245e-05,17540.0,True,0.09979859218439796,2.1707379444126904e-06,0,1.0,0.029631626577606502,1.1800865139886599e-05,1.5733074492757365e-07,54.37008252020257,238.8628777658908,19.118967758372637,245.71755162381507,3.697015389879471e-06,4.360466246847419e-09,-0.03829521570310664,-9.928954838852859e-06,2.010446324856447,7.2833205533302925,0,3.782118690458879
3,alongtrack,0.008,17580.0,7.306828974925985e-05,3.813544310455911e-05,17580.0,7.306828974925985e-05,17580.0,True,0.0997477722421828,2.036350629255949e-06,0,1.0,0.029624854451187062,1.1809565677141488e-05,1.5924437212417513e-07,23.320847230808727,193.6635029836983,11.168790434200533,195.38207743609118,2.893586226316829e-07,3.438884059648555e-10,-0.02674986978025345,-9.792366198443482e-06,2.0106776312821224,6.8661518430004085,1,3.8360125456509038
4,alongtrack,0.001,17570.0,7.354427724362027e-05,3.969947686418861e-05,17570.0,7.354427724362027e-05,17570.0,True,0.09994321968126534,1.9793148723790604e-06,0,1.0,0.02954709171257858,1.2625305576234057e-05,1.665556222113927e-07,6.057231161330264,112.96724002048461,4.112585871528367,113.20424342637632,4.939513154356126e-09,4.2473059893923914e-12,0.01101067167151487,2.8514748573537793e-06,1.9750073647707347,5.618970026864406,0,3.8291590991114535
