time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.214953,8.92241892e+02,-3.32721527e+00,3.76481263e+00,-6.57933402e-02,1.11389073e-03,3.87026480e-03,1.79317806e-03,7.00178079e-03,1.81613199e-04
0.216594,8.80964113e+02,-3.27868760e+00,3.82263787e+00,-1.51797813e-02,1.34968877e-03,3.61078966e-03,1.87514809e-03,6.87688144e-03,1.89184733e-04
0.218235,8.69566523e+02,-3.23045821e+00,3.90999792e+00,1.62256120e-03,1.52011436e-03,3.67092114e-03,1.79057087e-03,6.75096056e-03,1.96836290e-04
0.219876,8.58060288e+02,-3.23398769e+00,3.98024444e+00,2.87580157e-02,1.31021534e-03,3.72723795e-03,1.73411379e-03,6.62483100e-03,2.04412131e-04
0.221517,8.46456760e+02,-3.16512630e+00,4.04572367e+00,6.61377920e-02,1.58579573e-03,3.54964075e-03,1.76287812e-03,6.49820176e-03,2.11907151e-04
0.223158,8.34767577e+02,-3.21923115e+00,4.08113236e+00,1.28214721e-01,1.04282862e-03,3.24163341e-03,1.91854146e-03,6.37152246e-03,2.19672604e-04
0.224799,8.23004568e+02,-3.17968346e+00,4.15033180e+00,1.37337176e-01,1.18313115e-03,3.25111139e-03,1.73277539e-03,6.24472915e-03,2.27015024e-04
0.226440,8.11179978e+02,-3.13884469e+00,4.22541119e+00,1.70585786e-01,1.38160758e-03,3.26581867e-03,1.73260922e-03,6.11791399e-03,2.34635241e-04
0.228080,7.99306383e+02,-3.10270259e+00,4.26357390e+00,2.15183024e-01,1.46010608e-03,2.77477131e-03,1.71479274e-03,5.99127943e-03,2.41417432e-04
0.229721,7.87396500e+02,-3.09689989e+00,4.31366258e+00,2.27740051e-01,1.31055482e-03,2.64123967e-03,1.53315247e-03,5.86528150e-03,2.48338559e-04
0.231362,7.75463279e+02,-3.06832990e+00,4.34647625e+00,2.61386197e-01,1.36779879e-03,2.31018048e-03,1.53745338e-03,5.73958142e-03,2.55293672e-04
0.233003,7.63520060e+02,-2.97253524e+00,4.37352248e+00,3.60170793e-01,1.84004527e-03,2.14292421e-03,1.96876092e-03,5.61475956e-03,2.61349308e-04
