seed,dt,q_scale,F_rel_fro,F_max_abs,P_rel_fro,P_max_abs,P_trace_rel,mean_pos_diff_m,mean_vel_diff_m_s
6,2.0,0.0,4.603578048735873e-08,1.25485074205963e-07,1.5947195874749087e-07,2.20175651890084e-12,9.654996384434864e-14,0.0,3.469446951953614e-15
6,2.0,0.01,4.603578048735873e-08,1.25485074205963e-07,1.2410604078452506e-07,2.20175651890084e-12,7.493616338685822e-14,0.0,3.469446951953614e-15
6,2.0,0.1,4.603578048735873e-08,1.25485074205963e-07,4.14250190951492e-08,2.20175651890084e-12,2.4877696975230198e-14,0.0,3.469446951953614e-15
6,2.0,1.0,4.603578048735873e-08,1.25485074205963e-07,5.4064646213859555e-09,2.20175651890084e-12,3.0722091728464646e-15,0.0,3.469446951953614e-15
6,5.0,0.0,5.4253568968389566e-08,3.1371268551490754e-07,3.986761761158995e-07,5.5043912903258954e-12,2.0082205046110618e-13,0.0,0.0
6,5.0,0.01,5.4253568968389566e-08,3.1371268551490754e-07,3.102628485444638e-07,5.5043912903258954e-12,1.5648320460346212e-13,0.0,0.0
6,5.0,0.1,5.4253568968389566e-08,3.1371268551490754e-07,1.0356229671272014e-07,5.5043912903258954e-12,5.2296537290295027e-14,0.0,0.0
6,5.0,1.0,5.4253568968389566e-08,3.1371268551490754e-07,1.3516157284131608e-08,5.5043912903258954e-12,6.8426455382115585e-15,0.0,0.0
6,10.0,0.0,5.5826510679662814e-08,6.274253710298151e-07,7.973257749389343e-07,1.1008782594504197e-11,5.81592167652137e-13,0.0,0.0
6,10.0,0.01,5.5826510679662814e-08,6.274253710298151e-07,6.205096005273247e-07,1.1008782594504197e-11,4.5260741316801297e-13,0.0,0.0
6,10.0,0.1,5.5826510679662814e-08,6.274253710298151e-07,2.071227999874564e-07,1.1008782594504197e-11,1.5100327213844297e-13,0.0,0.0
6,10.0,1.0,5.5826510679662814e-08,6.274253710298151e-07,2.703228401811613e-08,1.1008782594504197e-11,1.9969330740750175e-14,0.0,0.0
7,2.0,0.0,7.377823288205157e-07,1.8049836470978344e-06,2.5557512864552606e-06,3.1670176974242356e-11,1.909372084943363e-12,0.0,4.3368086899420177e-16
7,2.0,0.01,7.377823288205157e-07,1.8049836470978344e-06,1.9889651816249826e-06,3.1670176974242356e-11,1.4858999670249188e-12,0.0,4.3368086899420177e-16
7,2.0,0.1,7.377823288205157e-07,1.8049836470978344e-06,6.638912989924162e-07,3.1670176974242356e-11,4.95815175734653e-13,0.0,4.3368086899420177e-16
7,2.0,1.0,7.377823288205157e-07,1.8049836470978344e-06,8.664582174865697e-08,3.1670176974242356e-11,6.465603850122001e-14,0.0,4.3368086899420177e-16
7,5.0,0.0,8.694843065345303e-07,4.512459117816866e-06,6.389318582727941e-06,7.917544243167948e-11,1.1540573831560234e-11,0.0,1.0842021724855044e-16
7,5.0,0.01,8.694843065345303e-07,4.512459117816866e-06,4.972376837616137e-06,7.917544243167948e-11,8.981254347747992e-12,0.0,1.0842021724855044e-16
7,5.0,0.1,8.694843065345303e-07,4.512459117816866e-06,1.659724223745625e-06,7.917544243167948e-11,2.9976214672832756e-12,0.0,1.0842021724855044e-16
7,5.0,1.0,8.694843065345303e-07,4.512459117816866e-06,2.1661448585709509e-07,7.917544243167948e-11,3.9142725394931815e-13,0.0,1.0842021724855044e-16
7,10.0,0.0,8.94691878842926e-07,9.024918235633732e-06,1.277821122625975e-05,1.5835088486682205e-10,4.593110625060022e-11,0.0,2.1684043449710089e-16
7,10.0,0.01,8.94691878842926e-07,9.024918235633732e-06,9.944495705726699e-06,1.5835088486682205e-10,3.574456525182727e-11,0.0,2.1684043449710089e-16
7,10.0,0.1,8.94691878842926e-07,9.024918235633732e-06,3.3194197056894956e-06,1.5835088486682205e-10,1.1930595992980853e-11,0.0,2.1684043449710089e-16
